code,species
EUWI,Eurasian Wigeon
EUWR,Eurasian Wren / Eurasian Wryneck
EYTH,Eyebrowed Thrush
EYWA,Eastern Yellow Wagtail
FADU,Falcated Duck
FAEC,Far Eastern Curlew
FBFL,Fire-breasted Flowerpecker
FECU,Far Eastern Curlew
FEDU,Ferruginous Duck
FLBU,Flavescent Bulbul
FOWA,Forest Wagtail
FTSU,Fork-tailed Sunbird
GADW,Gadwall
GARG,Garganey
GBFU,Golden-breasted Fulvetta
GBPR,Gray-breasted Prinia
GBSH,Gray-backed Shrike
GBTE,Gull-billed Tern
GBTH,Gray-backed Thrush
GBTI,Green-backed Tit
GCGR,Great Crested Grebe
GCMI,Gray-chinned Minivet
GCPW,Gray-capped Pygmy Woodpecker
GCTI,Gray-crested Tit
GCWA,Gray-crowned Warbler
GEBU,Gray-eyed Bulbul
GFBU,Gray-faced Buzzard
GHBU,Gray-headed Bullfinch
GHCF,Gray-headed Canary-Flycatcher
GHFU,Gray-hooded Fulvetta
GHLA,Gray-headed Lapwing
GHPA,Gray-headed Parrotbill
GHWO,Gray-headed Woodpecker
GILA,Giant Laughingthrush
GNLA,Greater Necklaced Laughingthrush
GOBU,Godlewski's Bunting
GOEA,Golden Eagle
GOLD,Goldcrest
GRBA,Great Barbet
GRBU,Gray Bushchat
GRCG,Great Crested Grebe
GRCO,Great Cormorant / Greater Coucal
GREG,Great Egret
GRGO,Graylag Goose
GRHE,Gray Heron
GRKN,Great Knot
GRNI,Gray Nightjar
GRNL,Greater Necklaced Laughingthrush
GRSA,Green Sandpiper
GRSC,Greater Scaup
GRSP,Greater Sand-Plover
GRSW,Great Spotted Woodpecker
GRTD,Greater Racket-tailed Drongo
GRTI,Ground Tit
GRTR,Gray Treepie
GRWA,Gray Wagtail / Greenish Warbler
GSFL,Gray-streaked Flycatcher
GSPL,Greater Sand-Plover
GSSB,Gray-sided Scimitar-Babbler
GSWO,Great Spotted Woodpecker
GTBA,Golden-throated Barbet / Gray-throated Babbler
GTTA,Gray-tailed Tattler
GWFG,Greater White-fronted Goose
GWTE,Green-winged Teal
HABF,Hainan Blue Flycatcher
HALW,Hartert's Leaf Warbler
HAWF,Hawfinch
HBFL,Hainan Blue Flycatcher / Hill Blue Flycatcher
HBRO,Himalayan Beautiful Rosefinch
HCDR,Hair-crested Drongo
HEHA,Hen Harrier
HIBF,Hill Blue Flycatcher
HIBL,Himalayan Bluetail
HIBR,Himalayan Beautiful Rosefinch
HIBU,Himalayan Buzzard
HICU,Himalayan Cuckoo
HIGR,Himalayan Griffon
HIPI,Hill Pigeon
HISW,Himalayan Swiftlet
HLWA,Hartert's Leaf Warbler
HOCR,Hooded Crane
HOLA,Horned Lark
HORE,Hodgson's Redstart
HOSP,House Sparrow
HOSW,House Swift
HOTR,Hodgson's Treecreeper
HUFU,Huet's Fulvetta
HUWA,Hume's Warbler
INCU,Indian Cuckoo
INWE,Indian White-eye
INYU,Indochinese Yuhina
ISWH,Isabelline Wheatear
IWEY,Indian White-eye
JAQU,Japanese Quail
JASP,Japanese Sparrowhawk
JATH,Japanese Thrush
JAWA,Japanese Waxwing
KEPL,Kentish Plover
KLLW,Kloss's Leaf Warbler
KLWA,Kloss's Leaf Warbler
LAHC,Large Hawk-Cuckoo
LANI,Large Niltava
LBBG,Lesser Black-backed Gull
LBCR,Large-billed Crow
LBLW,Large-billed Leaf Warbler
LBPL,Long-billed Plover
LECO,Lesser Coucal
LECU,Lesser Cuckoo
LENL,Lesser Necklaced Laughingthrush
LHCU,Large Hawk-Cuckoo
LIBU,Little Bunting
LIEG,Little Egret
LIFO,Little Forktail
LIGR,Little Grebe
LIHE,Little Heron
LIOW,Little Owl
LIRP,Little Ringed Plover
LITE,Little Tern
LNLA,Lesser Necklaced Laughingthrush
LRPL,Little Ringed Plover
LTMI,Long-tailed Minivet
LTRO,Long-tailed Rosefinch
LTSH,Long-tailed Shrike
LTST,Long-toed Stint
LTTI,Long-tailed Tit
LVBU,Light-vented Bulbul
MABW,Manchurian Bush Warbler
MADU,Mandarin Duck
MALA,Masked Laughingthrush
MALL,Mallard
MAOR,Maroon Oriole
MASA,Marsh Sandpiper
MATI,Marsh Tit
MBWA,Manchurian Bush Warbler
MEBU,Meadow Bunting
MEEG,Medium Egret
MGSU,Mrs. Gould's Sunbird
MOBU,Mountain Bulbul
MOGU,Mongolian Gull
MOTA,Mountain Tailorbird
MRGS,Mrs. Gould's Sunbird
MUFL,Mugimaki Flycatcher
NAFL,Narcissus Flycatcher
NATH,Naumann's Thrush
NOLA,Northern Lapwing
NOPI,Northern Pintail
NOSH,Northern Shoveler
OBLE,Orange-bellied Leafbird
OBPI,Olive-backed Pipit
OHBU,Oriental Honey-buzzard
OMRO,Oriental Magpie-Robin
ORGR,Oriental Greenfinch
ORHB,Oriental Honey-buzzard
ORMA,Oriental Magpie
ORMR,Oriental Magpie-Robin
ORPR,Oriental Pratincole
ORRW,Oriental Reed Warbler
ORSK,Oriental Skylark
ORSO,Oriental Scops-Owl
ORST,Oriental Stork
ORSU,Ornate Sunbird
ORTD,Oriental Turtle-Dove
ORWA,Oriental Reed Warbler
OSOW,Oriental Scops-Owl
OSPR,Osprey
OTDO,Oriental Turtle-Dove
PABU,Pallas's Bunting
PAGP,Pacific Golden-Plover
PAGU,Pallas's Gull
PALW,Pallas's Leaf Warbler
PAMA,Pale Martin
PASW,Pacific Swift
PATH,Pale Thrush
PDLA,Pere David's Laughingthrush
PEDL,Pere David's Laughingthrush
PEFA,Peregrine Falcon
PGPL,Pacific Golden-Plover
PIAV,Pied Avocet
PIBU,Pine Bunting
PIHA,Pied Harrier
PIKI,Pied Kingfisher
PLCU,Plaintive Cuckoo
PLFL,Plain Flowerpecker
PLLW,Pale-legged Leaf Warbler
PLMF,Plain Mountain Finch
PLPR,Plain Prinia
PLRE,Plumbeous Redstart
PLWA,Pallas's Leaf Warbler
PMFI,Plain Mountain Finch
PRRO,Pink-rumped Rosefinch
PSTB,Pin-striped Tit-Babbler
PTBA,Puff-throated Babbler
PTBU,Puff-throated Bulbul
PTJA,Pheasant-tailed Jacana
PUHE,Purple Heron
PYCU,Pygmy Cupwing
RAWA,Radde's Warbler
RBAC,Rufous-breasted Accentor
RBBM,Red-billed Blue-Magpie
RBCH,Red-billed Chough
RBLE,Red-billed Leiothrix
RBNI,Rufous-bellied Niltava
RBST,Red-billed Starling
RBWO,Rufous-bellied Woodpecker
RCBA,Rufous-capped Babbler
RCDO,Red Collared-Dove
RCFU,Rusty-capped Fulvetta
RCPO,Red-crested Pochard
REBU,Reed Bunting
RECD,Red Collared-Dove
REGU,Relict Gull
REKN,Red Knot
REPA,Reed Parrotbill
RFBA,Rusty-fronted Barwing
RFBL,Red-flanked Bluetail
RFWA,Rufous-faced Warbler
RGFL,Rufous-gorgeted Flycatcher
RHTR,Red-headed Trogon
RIPI,Richard's Pipit
RNPH,Ring-necked Pheasant
RNSN,Rufous-necked Snowfinch
RNST,Red-necked Stint
ROAC,Robin Accentor
ROOK,Rook
ROPI,Rock Pigeon / Rosy Pipit
RTLA,Red-tailed Laughingthrush
RTMI,Red-tailed Minla
RTPI,Red-throated Pipit
RTRO,Rufous-tailed Robin
RTTH,Red-throated Thrush
RUBU,Rustic Bunting
RUSH,Ruddy Shelduck
RUSP,Russet Sparrow
RUTU,Ruddy Turnstone
RVBU,Red-vented Bulbul
RVTI,Rufous-vented Tit
RWBU,Red-whiskered Bulbul
SAFA,Saker Falcon
SAGU,Saunders's Gull
SAND,Sanderling
SBFL,Slaty-backed Flycatcher
SBFO,Slaty-backed Forktail
SBMU,Scaly-breasted Munia
SBNU,Snowy-browed Nuthatch
SBRO,Siberian Blue Robin
SBSB,Streak-breasted Scimitar-Babbler
SCMI,Scarlet Minivet
SEME,Silver-eared Mesia
SHBU,Sooty-headed Bulbul
SIAC,Siberian Accentor
SIBR,Siberian Blue Robin
SICR,Siberian Crane
SILW,Sichuan Leaf Warbler
SIPH,Silver Pheasant
SIPI,Siberian Pipit
SIRU,Siberian Rubythroat
SISP,Siberian Sand-Plover
SIST,Siberian Stonechat
SITI,Sichuan Tit
SLWA,Sichuan Leaf Warbler
SMEW,Smew
SMNI,Small Niltava
SONU,Southern Nutcracker
SPDO,Spotted Dove
SPFU,Spectacled Fulvetta
SPPI,Speckled Piculet
SPRE,Spotted Redshank
SSPL,Siberian Sand-Plover
STSA,Sharp-tailed Sandpiper
STSP,Streaked Spiderhunter
STTI,Silver-throated Tit
STYU,Stripe-throated Yuhina
SWEY,Swinhoe's White-eye
SWGO,Swan Goose
SWWE,Swinhoe's White-eye
TABG,Taiga Bean-Goose
TAFL,Taiga Flycatcher
TBGO,Taiga Bean-Goose / Tundra Bean-Goose
TBWA,Thick-billed Warbler / Two-barred Warbler
TESA,Terek Sandpiper
TEST,Temminck's Stint
TILW,Tickell's Leaf Warbler
TISH,Tiger Shrike
TLWA,Tickell's Leaf Warbler
TRBU,Tristram's Bunting
TUBG,Tundra Bean-Goose
TUDU,Tufted Duck
TUSW,Tundra Swan
TWIT,Twite
UPBU,Upland Buzzard
VEFL,Verditer Flycatcher
VEGU,Vega Gull
VIRO,Vinaceous Rosefinch
VTPA,Vinous-throated Parrotbill
WAPI,Water Pipit
WBER,White-bellied Erpornis
WBLA,White-browed Laughingthrush
WBSB,White-browed Shrike-Babbler
WBTH,White-backed Thrush
WBWA,White-breasted Waterhen
WCFO,White-crowned Forktail
WCRE,White-capped Redstart
WCST,White-cheeked Starling
WCYU,White-collared Yuhina
WHSW,Whooper Swan
WHTE,Whiskered Tern
WHTH,White's Thrush
WHWA,White Wagtail
WHYU,Whiskered Yuhina
WITI,Willow Tit
WNCR,White-naped Crane
WOSA,Wood Sandpiper
WRMU,White-rumped Munia
WRSH,White-rumped Shama
WRSN,White-rumped Snowfinch
WSST,White-shouldered Starling
WTEA,White-tailed Eagle
WTFA,White-throated Fantail
WTKI,White-throated Kingfisher
WTNE,White-throated Needletail
WTRE,White-throated Redstart
WTRO,White-tailed Robin
WWGR,White-winged Grosbeak
WWTE,White-winged Tern
YBBU,Yellow-breasted Bunting / Yellow-browed Bunting
YBBW,Yellowish-bellied Bush Warbler
YBFF,Yellow-bellied Fairy-Fantail
YBGR,Yellow-billed Grosbeak
YBPR,Yellow-bellied Prinia
YBTI,Yellow-bellied Tit / Yellow-browed Tit
YBWA,Yellow-browed Warbler
YCTI,Yellow-cheeked Tit
YEBI,Yellow Bittern
YRFL,Yellow-rumped Flycatcher
YSWA,Yellow-streaked Warbler
YTBU,Yellow-throated Bunting
YUFU,Yunnan Fulvetta
ZICI,Zitting Cisticola
